,제목,가격,리뷰수,리뷰평점,평점비율
91,"*ishwasher Safe Reusable Storage Bags,12 Pack BPA Free Reusable Freezer Bags (5 Reusable Sandwich Bags, 5 Reusable Snack Bags, 2 Reusable Gallon Bags), Leakproof Lunch Bag for Food Storage",$13.99,170,4.6,"['76%', '16%', '3%', '2%', '3%']"
92,*ike Brasilia Small Duffel-9.0,Out of Stock,"3,175",4.8,"['86%', '9%', '2%', '1%', '1%']"
93,"*CEHAO Car Seat Travel Bag,Universal Size Gate Check Bag with Pouch for Air Travel,Fits Booster Seats,Convertible Car Seats and Infant Carriers (Red)",$24.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
94,*LDO Women's Greenwald Crossbody Bag,$65.00,"2,596",4.6,"['81%', '7%', '5%', '2%', '4%']"
95,*alesi Floral Tote Bag Daily Shoulder Handbag Duffel Bag for Beach Travel Sports,Out of Stock,7,3.7,"['39%', '20%', '19%', '23%', '0%']"
96,*AXTOP 30/40L Lightweight Packable Backpack for Hiking Traveling Camping Waterproof Foldable Outdoor Travel Daypack,$16.99,"1,333",4.5,"['71%', '17%', '8%', '2%', '2%']"
97,"*eather bag, brown bag, handbag, fashion bag, simple atmosphere, shoulder bag，retro bag",$23.90,0,0,"['0%', '0%', '0%', '0%', '0%']"
98,"*eusable Storage Bags,12 Pack BPA Free Reusable Freezer Bags (4 Reusable Sandwich Bags, 4 Reusable Snack Bags, 4 Reusable Gallon Bags), Leakproof Reusable Silicone Food Bags",$15.99,22,4.2,"['65%', '16%', '0%', '9%', '9%']"
99,"*mazon Brand - Solimo Gallon Food Storage Bags, 120 Count",$8.15,"22,052",4.8,"['84%', '11%', '3%', '1%', '1%']"
100,"*ONDON FOG Buckingham 44-Inch Wheeled Garment Bag, Black",$174.99,749,4.5,"['72%', '14%', '6%', '2%', '5%']"
101,"*eli. 33 Gallon Trash Bags Heavy Duty (250 Count Bulk), Made in USA | Black Garbage Bags 30 Gallon - 32 Gallon - 35 Gallon, Bulk Trash Bag Can Liners",$43.99,"1,501",4.3,"['66%', '14%', '10%', '3%', '6%']"
102,"*UMA Girls' Big Evercat Transformation JR Duffel, grey/pink, OS",$12.52,"1,257",4.6,"['79%', '11%', '4%', '2%', '4%']"
103,"*riendriver XL Size Upgraded Version of Camping Sleeping Bag 4 Seasons Warm and Cool, Lighter Weight, Adults and Children Can Use Waterproof Camping Bag, Travel and Outdoor Activities",$22.99,258,4.6,"['79%', '13%', '5%', '1%', '3%']"
104,*amsonite Tote-A-Ton 32.5-Inch Duffel Bag,$21.40 - $94.99,"4,748",4.6,"['80%', '12%', '4%', '1%', '3%']"
105,"*mazon Basics Scented Dog Poop Bags with EPI Additive, Dispenser and Leash Clip Included - 4 Scent Choices",$9.55,"32,145",4.8,"['87%', '9%', '2%', '1%', '1%']"
106,*ike Brasilia Training Medium Duffle Bag,Out of Stock,"3,217",4.8,"['88%', '9%', '2%', '0%', '1%']"
107,"*2frepak 200 Quart Size 8"" x 12"" Vacuum Sealer Bags for Food Saver,BPA Free and Puncture Prevention Vacuum Seal Food Saver Bags,Great for Sous Vide Vaccume Sealer PreCut Bag",$25.59,"5,238",4.7,"['83%', '12%', '3%', '1%', '1%']"
108,*WIKAR Carry Cover Bag Travel Carry Case Cover Shoulder Bag Neoprene Storage Protective Case Pouch for JBL Xtreme Bluetooth,Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
109,"*ila 22"" Lightweight Carry On Rolling Duffel Bag, Red, One Size",$65.98,847,4.5,"['72%', '15%', '6%', '3%', '4%']"
