,제목,가격,리뷰수,리뷰평점,평점비율
84,"*owerA Enhanced Wired Controller for Xbox Series X/S - Black, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox Series X/S, Xbox One",Out of Stock,"23,251",4.4,"['73%', '13%', '5%', '3%', '6%']"
85,"*ODOMOR Video Game Happy Birthday Cake Toppers, Video Game Theme Double Sided Glitter Cake Decoration, Birthday Party Supplies for Game Fans, Kids and Men",$8.39,0,0,"['0%', '0%', '0%', '0%', '0%']"
86,*ideo Games: A Popular Culture Phenomenon,$12.78 - $33.86,5,3,"['34%', '0%', '22%', '22%', '22%']"
87,*box Controller Keychain Video Game Controller Charm,Out of Stock,4,3.9,"['46%', '0%', '54%', '0%', '0%']"
88,*ass Pro Shops Fishing Sim World,$39.99,14,4.3,"['64%', '25%', '0%', '0%', '11%']"
89,"*CR X7 Plus 4.3 in 8GB Retro Game Console with Built in Over 20,000 Games, HD Screen, Portable Video Games Classic Game, Double Rocker, MP5 Game Controller",$79.99,7,3.1,"['16%', '26%', '27%', '16%', '15%']"
90,[8000 Games in 1] Pandora Games 3D+ Arcade Console | Support WiFi to Add Extra 10000+ Games | Search/Save/Hide/Pause Games | 1280x720 HD | Support 1-4 Players | Support 3D Games | Favorite List,$229.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
91,"*owerA Spectra Enhanced Wired Controller for Nintendo Switch, gamepad, wired video game controller, gaming controller, officially licensed, light-up controller",$34.99,"9,751",4.5,"['75%', '13%', '5%', '2%', '4%']"
92,"*andheld Game Console, Kiztoys Retro Game Console with 400 Classic Handheld Games, Supporting 2 Players & TV Connection, 800 mAh Rechargeable Battery",$19.99,"1,435",4.1,"['55%', '19%', '13%', '6%', '8%']"
93,"*olray Video Game Birthday Party Supplies Decorations for Boy Men Gamer with Happy Birthday Banner & Balloons, Hanging Decor, Tablecloth, 32 Paper Plates, 16 Set Cups Napkins Straw Knives Fork Spoons",$24.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
94,*ame Zone - Game Controller Decorations DIY Pixel Video Game Party or Birthday Party Essentials - Set of 20,Out of Stock,3,4.3,"['66%', '0%', '34%', '0%', '0%']"
