,제목,가격,리뷰수,리뷰평점,평점비율
77,"*he Original Donut Shop Regular, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 96 Count",Out of Stock,"44,108",4.8,"['85%', '10%', '3%', '1%', '1%']"
78,"*unkin' Original Blend Medium Roast Ground Coffee, 12 Ounces",Out of Stock,"15,229",4.7,"['82%', '11%', '4%', '1%', '1%']"
79,"*mazon Brand - 100 Ct. Solimo Dark Roast Coffee Pods, French Roast, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"33,967",4.5,"['74%', '15%', '6%', '2%', '3%']"
80,"*eet's Coffee Major Dickason's Blend, Dark Roast Ground Coffee, 18 oz",Out of Stock,"13,989",4.7,"['82%', '10%', '4%', '1%', '2%']"
81,"*olgers Gourmet Supreme Medium Dark Roast Ground Coffee, 24.2 Ounces",Out of Stock,"4,994",4.8,"['84%', '11%', '3%', '1%', '1%']"
82,"*mazon Brand - 100 Ct. Solimo Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"7,574",4.5,"['72%', '15%', '7%', '2%', '3%']"
83,"*ictor Allen's Coffee Colombian Roast, Medium Roast, 120 Count Single Serve Coffee Pods for Keurig K-Cup Brewers",$39.56,"98,818",4.6,"['75%', '14%', '6%', '2%', '3%']"
84,"*alhalla Java Bagged Coffee Grounds [12 Oz.] World’s Strongest Coffee, USDA Certified Organic, Fair Trade, Arabica, Robusta (1-Pack)",Out of Stock,"7,887",4.7,"['82%', '11%', '5%', '1%', '2%']"
85,*raeger Grills SPC172 Seasoning and BBQ Coffee Rub,Out of Stock,"12,682",4.7,"['82%', '11%', '4%', '1%', '1%']"
86,"*evalia French Roast Ground Coffee (12 oz Bags, Pack of 6)",$29.94,338,4.9,"['91%', '7%', '1%', '0%', '1%']"
87,"*olgers Classic Roast Medium Roast Ground Coffee, 30.5 Ounces (Pack of 6)",Out of Stock,"7,282",4.8,"['88%', '9%', '2%', '0%', '1%']"
