,제목,가격,리뷰수,리뷰평점,평점비율
74,"*awnova Convertible Sectional Sofa Couch L-Shaped Settee with Soft Seat, Comfortable Backrest and Modern Linen Fabric for Small Space, Living Room, Gray",Out of Stock,56,3.7,"['46%', '18%', '14%', '5%', '18%']"
75,"*egend Furniture Comfortable Velvet Sleeper Sofa Bed 2 Sofabed, Red",Out of Stock,23,3.5,"['47%', '13%', '11%', '0%', '29%']"
76,"*mazon Brand – Stone & Beam Lauren Down-Filled Oversized Sofa Couch, 89""W, Fawn",Out of Stock,"1,195",4.6,"['79%', '11%', '5%', '2%', '3%']"
77,"*everly Fine Furniture Left Facing Linen Russes Sectional Sofa Set With Ottoman, Dark Grey",Out of Stock,94,3.6,"['44%', '16%', '11%', '12%', '18%']"
78,"*TARTOGOO L-Shaped Couch 3 Piece Convertible Sectional Sofa with Reversible Chaise Lounge Storage Ottoman Set and 2 Cup Holders for Living Room, Apartment (Brown)",Out of Stock,3,5,"['100%', '0%', '0%', '0%', '0%']"
79,"*urniture For Living Gregory RTA Three Seat Sofa, Gray",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
80,"*ome Styles homestyles by Flexsteel Moderno Leather Upholstered Sofa, W-78”, D-35”, H-36 ½”, Beige",Out of Stock,1,5,"['100%', '0%', '0%', '0%', '0%']"
81,"*erax Sleeper Couch, Small Velvet Sofa for Living Room or Bedroom, Including Pull Out Bed Sofabed, Compact, Beige",Out of Stock,9,3.9,"['61%', '0%', '24%', '0%', '14%']"
82,*ifestyle Sectional Sofa Set,Out of Stock,192,3.5,"['46%', '11%', '14%', '4%', '24%']"
83,"*mazon Brand – Rivet Cove Mid-Century Modern Tufted Apartment Sofa, 72""W, Denim Blue",Out of Stock,334,4.6,"['75%', '16%', '2%', '3%', '4%']"
84,"*hristopher Knight Home Castalia Sofas, Dark Brown + Natural",Out of Stock,16,3.7,"['45%', '19%', '8%', '14%', '13%']"
85,*lash Furniture HERCULES Majesty Series Brown LeatherSoft Sofa,Out of Stock,12,3.8,"['42%', '15%', '22%', '20%', '0%']"
86,"*asa Andrea Milano llc Classic Velvet Scroll Arm Tufted Button Chesterfield Sofa (Grey), Large",Out of Stock,31,3.4,"['40%', '14%', '17%', '11%', '19%']"
87,"*asa Andrea Milano LLC Modern Sectional Sofa - Small Space Reversible Configurable Couch, Grey Microfiber",Out of Stock,110,3,"['34%', '9%', '14%', '13%', '31%']"
88,*oundhill Furniture Achern Brown Leather-Air Nailhead Manual Reclining Sofa and Loveseat with Storage Console and USB Port,Out of Stock,40,4.1,"['66%', '6%', '14%', '0%', '13%']"
89,*OLY & BARK Napa Right-Facing Sectional Sofa in Full-Grain Pure-Aniline Italian Tanned Leather in Cognac Tan,Out of Stock,253,4.7,"['86%', '6%', '2%', '2%', '4%']"
90,*ignature Design by Ashley - Draycoll Contemporary Upholstered Power Reclining Sofa - Adjustable - Tan,Out of Stock,38,4.1,"['59%', '17%', '9%', '3%', '11%']"
91,"*mazon Brand – Stone & Beam Bradbury Chesterfield Classic Sofa, 92.9""W, Pepper",Out of Stock,634,4.7,"['80%', '12%', '4%', '2%', '2%']"
92,"*exicon Morgan Living Room Sofa, Blue",Out of Stock,4,4.1,"['71%', '0%', '0%', '29%', '0%']"
93,"*TARTOGOO Faux Leather Reversible Sectional L Shaped Chaise, Storage Ottoman and 2 Pillows Corner Sofa for Living Room, PU, Right Brown",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
